analysis,model_or_variant,analysis_tier,metric,cost_scenario,slice_type,slice_value,portfolio_count,unique_dates,estimate,ci_low,ci_high,p_value,confidence_level,bootstrap_replicates,randomization_replicates,block_length,block_count,repeat_count,status,failure_reason,holm_adjusted_p_value,bh_adjusted_p_value
allocation,fixed_smart_policy,parent_primary,net_mean_log_return,base,market,cn,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,fixed_smart_policy,parent_primary,net_information_ratio,base,market,cn,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,fixed_smart_policy,parent_primary,net_mean_log_return,base,market,jp,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,fixed_smart_policy,parent_primary,net_information_ratio,base,market,jp,2,54,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,fixed_smart_policy,parent_primary,net_mean_log_return,base,market,tw,2,53,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,fixed_smart_policy,parent_primary,net_information_ratio,base,market,tw,2,53,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,fixed_smart_policy,parent_primary,net_mean_log_return,base,period,early,10,27,-1.6560288433084156e-05,-4.4760001223630164e-05,1.1253046106512971e-05,0.32083958020989506,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.7178683385579937
allocation,fixed_smart_policy,parent_primary,net_information_ratio,base,period,early,10,27,-0.015129784502193488,-0.045117000758452937,0.012925577604350926,0.33983008495752126,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.7178683385579937
allocation,fixed_smart_policy,parent_primary,net_mean_log_return,base,period,late,10,28,-3.6297879524463481e-06,-4.3816876195327442e-05,3.6903063645320841e-05,0.92353823088455778,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.95002498750624687
allocation,fixed_smart_policy,parent_primary,net_information_ratio,base,period,late,10,28,-0.018602255657575117,-0.05464843432272256,0.017477297617645639,0.57921039480259873,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.87356321839080453
allocation,fixed_smart_policy,parent_primary,net_mean_log_return,base,regime,calm,2,7,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,fixed_smart_policy,parent_primary,net_information_ratio,base,regime,calm,2,7,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,fixed_smart_policy,parent_primary,net_mean_log_return,base,regime,normal,6,54,-2.635431674296161e-05,-6.3250097457988232e-05,9.7856183794335443e-06,0.18490754622688654,0.94999999999999996,2000,2000,21,12,1,estimable,,,0.69940787182166497
allocation,fixed_smart_policy,parent_primary,net_information_ratio,base,regime,normal,6,54,-0.0030812995960043388,-0.038403806368080114,0.034932855378326778,0.81959020489755119,0.94999999999999996,2000,2000,21,12,1,estimable,,,0.95002498750624687
allocation,fixed_smart_policy,parent_primary,net_mean_log_return,base,regime,stress,8,55,2.2060513545170326e-06,-3.2037791166666528e-05,3.7607327073083997e-05,0.89655172413793105,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.95002498750624687
allocation,fixed_smart_policy,parent_primary,net_information_ratio,base,regime,stress,8,55,-0.0011082629768335295,-0.029851226202379139,0.025699139511660203,0.94402798600699656,0.94999999999999996,2000,2000,21,20,1,estimable,,,0.95002498750624687
allocation,guard_disabled,parent_primary,net_mean_log_return,base,overall,overall,10,55,-9.2696639960327537e-06,-4.1685485187319451e-05,2.2354196725359049e-05,0.70414792603698151,0.94999999999999996,2000,2000,21,30,1,estimable,,1,
allocation,guard_disabled,parent_primary,net_information_ratio,base,overall,overall,10,55,-0.0077471098828664209,-0.040745330518895222,0.024589324673231425,0.74562718640679659,0.94999999999999996,2000,2000,21,30,1,estimable,,1,
allocation,guard_disabled,parent_primary,net_mean_log_return,base,market,us,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,guard_disabled,parent_primary,net_information_ratio,base,market,us,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,guard_disabled,parent_primary,net_mean_log_return,base,market,hk,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
allocation,guard_disabled,parent_primary,net_information_ratio,base,market,hk,2,52,,,,,0.94999999999999996,2000,2000,21,0,1,not_estimable,fewer than eight allocation time blocks or one incomplete portfolio block,,
