analysis_type,analysis_id,cost_scenario,portfolio_count,row_count,gross_mean_log_return,net_mean_log_return,gross_information_ratio,net_information_ratio,gross_cumulative_return,net_cumulative_return,benchmark_cumulative_return,gross_benchmark_excess_return,net_benchmark_excess_return,gross_annualized_return,net_annualized_return,annualized_volatility,max_drawdown,expected_shortfall,gross_sharpe,net_sharpe,mean_l1_turnover,mean_one_way_turnover,realized_cost
component,guard_disabled,low,10,530,0.001031966216101093,0.0010283910085992116,0.83558141463054358,0.83212440853409697,0.72796098937451492,0.72468984541429959,0.096014479123883278,0.63194651025063164,0.62867536629041632,0.29700205071837082,0.29583403999000479,0.21738034982843593,-0.20651790184913399,-0.026969416397355599,1.1964422122728255,1.1921709316023046,0.25263922892070939,0.1263196144603547,0.0018947942169053205
component,regime_input_neutralized,base,10,530,0.0010402347350190215,0.0010320204087218331,0.8425748817288442,0.83461751276171992,0.73555007552109197,0.72801062073658152,0.096014479123883278,0.63953559639720869,0.63199614161269824,0.29970738832081811,0.29701976340025649,0.2174535968620499,-0.19826916467962785,-0.026903722768441826,1.2057433559734245,1.1959753563556224,0.24184640447981445,0.12092320223990723,0.0043532352806366602
component,regime_input_neutralized,high,10,530,0.0010402347350190215,0.0010231200318188938,0.8425748817288442,0.82599056463861775,0.73555007552109197,0.71987844508191601,0.096014479123883278,0.63953559639720869,0.62386396595803273,0.29970738832081811,0.29411394422634163,0.21750386092416793,-0.19919430833942209,-0.026915654092341441,1.2057433559734245,1.1853869946163929,0.24184640447981445,0.12092320223990723,0.0090692401679930406
component,regime_input_neutralized,low,10,530,0.0010402347350190215,0.0010368122630896926,0.8425748817288442,0.83926001509455317,0.73555007552109197,0.73240479715945228,0.096014479123883278,0.63953559639720869,0.636390318035569,0.29970738832081811,0.29858692213322269,0.21742725425095413,-0.19777062020191105,-0.026900043236351565,1.2057433559734245,1.201674055070564,0.24184640447981445,0.12092320223990723,0.0018138480335986081
component,risk_inputs_neutralized,base,10,530,0.0010254098298451383,0.0010168774946676226,0.82566715840645888,0.81744661221702131,0.72196694448219656,0.71419755330899193,0.096014479123883278,0.62595246535831328,0.61818307418510865,0.29486090112146601,0.29207974895937228,0.2186055697528157,-0.20645470670313781,-0.027127467837071827,1.1823572333062256,1.1722168330202862,0.25120850767572134,0.12560425383786067,0.0045217531381629835
component,risk_inputs_neutralized,high,10,530,0.0010254098298451383,0.0010076324937719841,0.82566715840645888,0.80853375293834961,0.72196694448219656,0.70581878573133516,0.096014479123883278,0.62595246535831328,0.60980430660745188,0.29486090112146601,0.28907304257576816,0.21866838255506246,-0.20737424066263899,-0.027138928683912603,1.1823572333062256,1.1612258958681418,0.25120850767572134,0.12560425383786067,0.0094203190378395509
component,risk_inputs_neutralized,low,10,530,0.0010254098298451383,0.0010218548665293563,0.82566715840645888,0.82224272173672408,0.72196694448219656,0.71872558847116697,0.096014479123883278,0.62595246535831328,0.62271110934728369,0.29486090112146601,0.2937014184440907,0.21857251899112148,-0.20595918672435909,-0.027121297391009123,1.1823572333062256,1.1781326744733993,0.25120850767572134,0.12560425383786067,0.0018840638075679106
component,without_model_view,base,10,530,0.0011238523681673146,0.0011215167917966089,0.92269116764520764,0.92042730878366741,0.81419484029548905,0.81195051863654522,0.096014479123883278,0.71818036117160577,0.71593603951266194,0.32738494079676994,0.32660391801730393,0.20478835495059486,-0.15282263770970406,-0.023751533125635507,1.3830537665961038,1.3800698364949902,0.068766976718622558,0.034383488359311279,0.0012378055809352058
component,without_model_view,high,10,530,0.0011238523681673146,0.0011189863715549266,0.92269116764520764,0.91797386583853813,0.81419484029548905,0.80952209938193342,0.096014479123883278,0.71818036117160577,0.71350762025805015,0.32738494079676994,0.32575825758784349,0.20480624061204331,-0.15313298198870973,-0.023752664749216997,1.3830537665961038,1.3768358072935589,0.068766976718622558,0.034383488359311279,0.0025787616269483454
component,without_model_view,low,10,530,0.0011238523681673146,0.0011228792342287469,0.92269116764520764,0.92174799348133141,0.81419484029548905,0.8132593906282064,0.096014479123883278,0.71818036117160577,0.71724491150432312,0.32738494079676994,0.32705946642587147,0.20477883390803212,-0.15265549237325005,-0.023750923797106419,1.3830537665961038,1.3818106179505176,0.068766976718622558,0.034383488359311279,0.00051575232538966906
