analysis,model_or_variant,metric,slice_type,slice_value,planned_repeats,successful_repeats,unique_dates,positive_events,portfolio_count,estimate,ci_low,ci_high,p_value,confidence_level,bootstrap_replicates,randomization_replicates,block_length,block_count,repeat_count,status,failure_reason,holm_adjusted_p_value,bh_adjusted_p_value
warning,random_forest,brier_score,regime,calm,5,5,7,2,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 40 unique dates,,
warning,random_forest,recall_at_frozen_threshold,regime,calm,5,5,7,2,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 40 unique dates,,
warning,random_forest,average_precision,regime,normal,5,5,53,21,6,-0.0034482221156760251,-0.0060811706150045719,0.0094399686352357407,0.32783608195902048,0.94999999999999996,2000,2000,20,15,5,estimable,,,0.81751981152281006
warning,random_forest,brier_score,regime,normal,5,5,53,21,6,8.4615354833103562e-05,-0.00031591608156642003,0.00046759271545480122,0.68715642178910541,0.94999999999999996,2000,2000,20,15,5,estimable,,,1
warning,random_forest,recall_at_frozen_threshold,regime,normal,5,5,53,21,6,0.019047619047619049,0,0.049586776859504134,0.48575712143928035,0.94999999999999996,2000,2000,20,15,5,estimable,,,0.81751981152281006
warning,random_forest,average_precision,regime,stress,5,5,54,27,8,-0.020366746080220183,-0.033783431687844236,0.0016600995684254395,0.1969015492253873,0.94999999999999996,2000,2000,20,15,5,estimable,,,0.7476261869065467
warning,random_forest,brier_score,regime,stress,5,5,54,27,8,0.00071572228588290265,0.00038277835356617879,0.0010885435633877763,0.0094952523738130942,0.94999999999999996,2000,2000,20,15,5,estimable,,,0.15667166416791606
warning,random_forest,recall_at_frozen_threshold,regime,stress,5,5,54,27,8,0.029629629629629645,-0.050635204549623912,0.1167983006386861,0.54872563718140932,0.94999999999999996,2000,2000,20,15,5,estimable,,,0.84223004776681432
warning,gradient_boosting,average_precision,overall,overall,5,5,54,50,10,0.005119704489987692,-0.0007127469992129808,0.01332760938133699,0.50374812593703144,0.94999999999999996,2000,2000,20,15,5,estimable,,1,
warning,gradient_boosting,brier_score,overall,overall,5,5,54,50,10,-0.0001964027178546629,-0.00036724657888210485,-1.929157092513805e-05,0.17041479260369816,0.94999999999999996,2000,2000,20,15,5,estimable,,1,
warning,gradient_boosting,recall_at_frozen_threshold,overall,overall,5,5,54,50,10,0.095999999999999988,-0.0036044705091957487,0.16535779638460682,0.031984007996001998,0.94999999999999996,2000,2000,20,15,5,estimable,,0.99150424787606195,
warning,gradient_boosting,average_precision,market,us,5,5,51,11,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,gradient_boosting,brier_score,market,us,5,5,51,11,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
warning,gradient_boosting,recall_at_frozen_threshold,market,us,5,5,51,11,2,,,,,0.94999999999999996,2000,2000,20,0,5,not_estimable,fewer than 20 positive events,,
